latitude,longitude,date,time
37.77,12.55,2023-08-02,1304
39.27,8.76,2023-08-02,1304
37.69,14.99,2023-08-03,1104
37.69,14.99,2023-08-03,1104
38.94,16.88,2023-08-03,1104
40.32,16.37,2023-08-03,1104
40.32,16.37,2023-08-03,1104
40.74,15.67,2023-08-03,1104
41.24,15.55,2023-08-03,1104
41.33,15.46,2023-08-03,1104
41.33,15.46,2023-08-03,1104
37.15,13.66,2023-08-03,1244
37.15,13.66,2023-08-03,1244
37.33,14.03,2023-08-03,1244
40.43,17.2,2023-08-03,1246
40.43,17.2,2023-08-03,1246
40.43,17.2,2023-08-03,1246
40.51,16.33,2023-08-03,1246
40.51,16.33,2023-08-03,1246
40.51,16.33,2023-08-03,1246
40.74,15.67,2023-08-03,1246
40.74,15.67,2023-08-03,1246
41.1,15.28,2023-08-03,1246
41.1,15.28,2023-08-03,1246
38.94,16.88,2023-08-04,1045
38.94,16.88,2023-08-04,1045
40.84,16.13,2023-08-04,1045
40.84,16.13,2023-08-04,1045
41.46,15.03,2023-08-04,1045
41.24,15.55,2023-08-04,1045
41.79,14.87,2023-08-04,1045
39.18,9.56,2023-08-06,26
39.85,9.51,2023-08-06,206
39.18,9.56,2023-08-06,1147
39.08,8.47,2023-08-06,1329
39.08,8.47,2023-08-06,1329
39.08,8.47,2023-08-06,1329
39.08,9.02,2023-08-06,1329
39.08,9.02,2023-08-06,1329
39.18,9.56,2023-08-06,1329
39.18,9.56,2023-08-06,1329
39.18,9.56,2023-08-06,1329
39.18,9.56,2023-08-06,1329
39.18,9.56,2023-08-06,1329
40.6,9.71,2023-08-06,1329
40.6,9.71,2023-08-06,1329
40.6,9.71,2023-08-06,1329
40.6,9.71,2023-08-06,1329
40.6,9.71,2023-08-06,1329
40.6,9.71,2023-08-06,1329
40.6,9.71,2023-08-06,1329
40.6,9.71,2023-08-06,1329
40.6,9.71,2023-08-06,1329
40.6,9.71,2023-08-06,1329
40.6,9.71,2023-08-06,1329
40.6,9.71,2023-08-06,1329
40.6,9.71,2023-08-06,1329
40.6,9.71,2023-08-06,1329
44.94,7.51,2023-08-06,1331
41.79,14.87,2023-08-07,145
41.79,14.87,2023-08-07,145
41.79,14.87,2023-08-07,145
36.98,15.08,2023-08-07,1128
39.18,9.56,2023-08-07,1130
37.66,12.81,2023-08-07,1310
37.66,12.81,2023-08-07,1310
36.98,14.35,2023-08-08,1110
36.98,14.35,2023-08-08,1110
38.94,16.88,2023-08-08,1253
38.94,16.88,2023-08-08,1253
40.84,16.13,2023-08-09,1051
41.46,15.03,2023-08-09,1051
37.66,12.81,2023-08-09,1232
40.28,16.57,2023-08-09,1232
40.28,16.57,2023-08-09,1232
40.51,16.75,2023-08-10,1034
40.51,16.75,2023-08-10,1034
37.12,14.22,2023-08-12,1136
36.98,15.08,2023-08-13,1117
36.98,14.35,2023-08-13,1117
36.98,14.35,2023-08-13,1117
37.15,13.66,2023-08-13,1117
37.15,13.66,2023-08-13,1117
41.24,15.55,2023-08-13,1119
36.98,14.35,2023-08-13,1255
37.66,12.81,2023-08-13,1257
41.46,15.03,2023-08-13,1257
37.34,14.59,2023-08-14,1058
37.66,12.81,2023-08-14,1058
37.66,12.81,2023-08-14,1058
39.74,16.15,2023-08-14,1058
39.74,16.15,2023-08-14,1058
40.74,15.67,2023-08-14,1058
40.74,15.67,2023-08-14,1058
40.74,15.67,2023-08-14,1058
40.74,15.67,2023-08-14,1058
40.74,15.67,2023-08-14,1058
40.74,15.67,2023-08-14,1058
41.33,15.46,2023-08-14,1240
41.46,15.03,2023-08-14,1240
41.24,15.55,2023-08-15,1041
41.24,15.55,2023-08-15,1041
37.25,14.87,2023-08-16,1200
37.66,12.81,2023-08-16,1200
40.28,17.83,2023-08-16,1202
37.77,12.55,2023-08-17,1142
37.77,12.55,2023-08-18,1121
37.77,12.55,2023-08-18,1121
37.66,12.81,2023-08-18,1121
37.66,12.81,2023-08-18,1304
37.38,13.42,2023-08-19,1104
37.72,14.33,2023-08-19,1104
37.77,12.55,2023-08-19,1104
40.4,16.33,2023-08-19,1104
40.58,16.13,2023-08-19,1104
40.84,16.13,2023-08-19,1104
40.74,15.67,2023-08-19,1104
41.69,15.82,2023-08-19,1104
41.69,15.82,2023-08-19,1104
36.98,14.35,2023-08-19,1244
36.98,14.35,2023-08-19,1244
36.98,14.35,2023-08-19,1244
37.12,14.22,2023-08-19,1244
37.82,14.71,2023-08-19,1244
40.74,15.67,2023-08-19,1246
40.84,16.13,2023-08-19,1246
40.84,16.13,2023-08-19,1246
40.03,18.0,2023-08-20,1045
40.51,16.75,2023-08-20,1045
41.99,14.72,2023-08-20,1045
40.03,18.0,2023-08-20,1225
41.04,14.35,2023-08-20,1225
43.86,7.77,2023-08-22,26
37.59,12.89,2023-08-22,206
37.58,12.55,2023-08-22,1149
37.94,15.71,2023-08-22,1149
43.86,7.77,2023-08-22,1149
43.86,7.77,2023-08-22,1149
41.16,13.68,2023-08-23,145
41.16,13.68,2023-08-23,145
37.94,15.71,2023-08-23,1128
37.59,13.76,2023-08-23,1310
36.94,14.49,2023-08-24,1110
37.35,13.22,2023-08-24,1110
37.35,13.22,2023-08-24,1110
37.77,12.55,2023-08-24,1110
40.96,14.76,2023-08-24,1110
40.96,14.76,2023-08-24,1110
36.98,14.04,2023-08-24,1251
37.35,13.22,2023-08-24,1251
37.66,12.81,2023-08-24,1251
37.66,12.81,2023-08-24,1251
37.77,12.55,2023-08-24,1251
37.77,12.55,2023-08-24,1251
37.77,12.55,2023-08-24,1251
37.77,12.55,2023-08-24,1251
37.94,15.8,2023-08-24,1251
40.25,14.99,2023-08-24,1253
40.72,14.8,2023-08-24,1253
40.72,14.8,2023-08-24,1253
40.84,16.13,2023-08-24,1253
40.32,16.37,2023-08-25,1051
40.51,16.33,2023-08-25,1051
40.51,16.33,2023-08-25,1051
40.51,16.42,2023-08-25,1051
40.51,16.42,2023-08-25,1051
41.32,13.68,2023-08-25,1051
41.32,13.68,2023-08-25,1051
41.32,13.68,2023-08-25,1051
37.66,12.81,2023-08-25,1232
38.94,16.88,2023-08-25,1232
45.14,9.94,2023-08-26,230
37.66,12.81,2023-08-26,1214
37.41,13.32,2023-08-27,1153
37.69,14.99,2023-08-27,1153
37.77,12.55,2023-08-27,1153
37.77,12.55,2023-08-27,1153
37.59,12.89,2023-08-27,1153
37.72,13.29,2023-08-27,1153
37.77,12.55,2023-08-27,1153
37.77,12.55,2023-08-27,1153
40.4,16.33,2023-08-27,1153
